transaction_id,case_id,transaction_type,transaction_date,amount_gbp,hours_worked,payment_status
TXN000001,CASE0051,Other,22/09/2022,11123,,Pending
TXN000002,CASE0103,Expense,13/10/2023,48620,,Paid
TXN000003,CASE0493,Timesheet,08/10/2021,18117,,Paid
TXN000004,CASE0004,Other,24/02/2021,39035,,Unpaid
TXN000005,CASE0003,Payment,28/07/2023,48503,,Paid
TXN000006,CASE0385,Timesheet,22/12/2023,24187,13.7,Unpaid
TXN000007,CASE0187,Payment,05/03/2022,28626,,Paid
TXN000008,CASE0343,Payment,30/11/2023,5773,,Pending
TXN000009,CASE0371,Timesheet,10/11/2022,40160,2.3,Paid
TXN000010,CASE0321,Timesheet,02/07/2023,2175,,Pending
TXN000011,CASE0398,Invoice,19/07/2021,3846,,Paid
TXN000012,CASE0349,Payment,27/09/2022,24403,,Overdue
TXN000013,CASE0238,Other,01/09/2021,38373,,Paid
TXN000014,CASE0282,Payment,29/12/2022,40095,,Unpaid
TXN000015,CASE0230,Timesheet,29/08/2022,37427,3.1,Pending
TXN000016,CASE0284,Other,13/10/2023,19919,,Overdue
TXN000017,CASE0090,Expense,04/06/2022,30530,,Pending
TXN000018,CASE0209,Timesheet,06/04/2022,18438,,Overdue
TXN000019,CASE0119,Invoice,09/07/2021,17450,,Unpaid
TXN000020,CASE0071,Expense,23/09/2022,4862,,Overdue
TXN000021,CASE0360,Payment,27/10/2022,32386,,Overdue
TXN000022,CASE0325,Timesheet,27/01/2021,39729,12.5,Overdue
TXN000023,CASE0446,Other,08/05/2022,19595,,Overdue
TXN000024,CASE0482,Expense,07/07/2021,49712,,Overdue
TXN000025,CASE0139,Other,31/10/2023,46714,,Unpaid
TXN000026,CASE0319,Timesheet,05/01/2021,45485,,Unpaid
TXN000027,CASE0215,Payment,11/08/2023,10763,,Unpaid
TXN000028,CASE0144,Invoice,01/02/2022,46661,,Unpaid
TXN000029,CASE0188,Expense,12/10/2023,9388,,Overdue
TXN000030,CASE0251,Timesheet,17/04/2022,33322,36.3,Unpaid
TXN000031,CASE0063,Invoice,21/04/2021,8787,,Paid
