case_id,customer_id,solicitor_name,case_type,case_value_gbp,start_date,case_status
CASE0001,95,Richard Evans,Litigation,104709,02/06/2021,Pending
CASE0002,15,Jennifer Thomas,Immigration,241518,18/12/2022,Closed
CASE0003,86,Sarah Jones,Corporate,283275,05/09/2021,Closed
CASE0004,100,Jennifer Thomas,Immigration,431534,08/05/2021,Open
CASE0005,46,Susan Robinson,General,373153,06/02/2021,Pending
CASE0006,165,Robert Smith,Contract Law,247972,25/03/2021,Closed
CASE0007,149,Karen Edwards,Commercial,39337,23/02/2022,Closed
CASE0008,19,Lisa Johnson,General,463150,18/09/2022,Open
CASE0009,9,Richard Evans,Corporate,196887,24/05/2022,Closed
CASE0010,28,Daniel Hughes,Contract Law,109073,28/11/2023,Pending
CASE0011,93,Andrew Roberts,Property Law,490639,05/06/2023,Pending
CASE0012,98,Andrew Roberts,Intellectual Property,366061,23/07/2023,Open
CASE0013,45,Daniel Hughes,Litigation,386886,08/02/2023,Open
CASE0014,138,Emma Wilson,General,118931,29/11/2021,Closed
CASE0015,75,Michael Brown,Employment,258988,30/08/2021,Pending
CASE0016,4,Richard Evans,Commercial,64682,02/07/2021,Closed
CASE0017,122,Jennifer Thomas,General,424179,04/08/2021,Pending
CASE0018,103,Richard Evans,Contract Law,11369,25/12/2021,Closed
CASE0019,36,Andrew Roberts,Wills & Probate,428845,09/08/2022,Pending
CASE0020,19,Robert Smith,Contract Law,414045,06/11/2022,Open
CASE0021,134,Charles Thompson,Litigation,91459,18/04/2021,Open
CASE0022,67,Richard Evans,Corporate,375516,02/10/2021,Pending
CASE0023,41,Jennifer Thomas,Wills & Probate,422670,05/01/2023,Open
CASE0024,112,Susan Robinson,Conveyancing,90776,21/10/2023,Open
CASE0025,58,Emma Wilson,Wills & Probate,352055,08/06/2022,Pending
CASE0026,102,Robert Smith,General,127023,17/11/2023,Closed
CASE0027,28,Charles Thompson,Wills & Probate,165763,11/10/2021,Pending
CASE0028,69,Sarah Jones,Immigration,71057,22/12/2022,Closed
CASE0029,79,James Davies,Family Law,83856,15/09/2022,Closed
CASE0030,102,David Taylor,Commercial,355328,05/09/2022,Pending
CASE0031,164,James Davies,Commercial,303597,23/05/2021,Open
CASE0032,63,Susan Robinson,General,410700,24/03/2023,Open
CASE0033,169,Andrew Roberts,General,102118,03/08/2023,Closed
CASE0034,44,Karen Edwards,Conveyancing,431449,04/09/2023,Open
CASE0035,59,James Davies,Contract Law,219178,12/05/2023,Closed
CASE0036,144,Jennifer Thomas,Wills & Probate,305850,18/01/2022,Open
CASE0037,166,Lisa Johnson,General,175644,28/10/2021,Pending
CASE0038,53,Emma Wilson,Property Law,6017,09/05/2023,Open
CASE0039,47,Jennifer Thomas,Property Law,220590,04/08/2023,Open
CASE0040,140,David Taylor,Employment,336378,24/11/2023,Closed
