tid,cid,typ,dt,amt,hrs,paystat,col8
T000001,CASE51,E,09/22/2022,GBP 11123,,Unknown,X
T000002,C00103,expense,13-10-23,48620.00,,P,Y
T000003,C00493,Hours,08/10/2021,18.117K,,Paid,Y
T000004,C00004,P,02/24/2021,39035,,unpaid,Y
T000005,CASE3,Receipt,28/07/2023,48.503K,,1,
T000006,C00385,Timesheet,2023-12-22,£24187,13.7,U,X
T000007,C00187,PAY,05/03/2022,GBP 28626,,Paid,Y
T000008,CASE343,Payment,30/11/2023,5773,,Unknown,Y
T000009,CASE371,Timesheet,10/11/2022,40160,2.3,Complete,X
T000010,C00321,Hours,2023-07-02,2175.00,,,Y
T000011,C00398,Invoice,07/19/2021,3846,,Paid,Y
T000012,C00349,PAY,27-09-22,24403,,overdue,X
T000013,C00238,E,01-09-21,38373.00,,P,X
T000014,C00282,PAY,12/29/2022,GBP 40095,,U,
T000015,C00230,TIME,08/29/2022,37427.00,3.1,N/A,
T000016,C00284,P,13-10-23,£19919,,Overdue,X
T000017,C00090,EXP,04/06/2022,GBP 30530,,,X
T000018,C00209,Hours,2022-04-06,GBP 18438,,Late,
T000019,C00119,INV,2021-07-09,17450,,Unpaid,Y
T000020,C00071,Expense,2022-09-23,£4862,,overdue,
T000021,C00360,Receipt,2022-10-27,32.386K,,overdue,X
T000022,CASE325,Timesheet,27/01/2021,£39729,12.5,Overdue,
T000023,C00446,P,08/05/2022,19.595K,,O,X
T000024,C00482,expense,07-07-21,49712.00,,overdue,Y
TXN25,C00139,I,31-10-23,46.714K,,0,
T000026,C00319,Hours,2021-01-05,45485,,Pending,
T000027,C00215,PAY,2023-08-11,GBP 10763,,U,X
T000028,C00144,Bill,01/02/2022,46661.00,,U,Y
T000029,C00188,expense,12-10-23,£9388,,Overdue,X
T000030,C00251,TIME,17-04-22,33322,36.3,unpaid,X
T000031,CASE63,INV,21-04-21,8787.00,,Paid,
T000032,C00233,Timesheet,06-10-22,£48644,9.2,Overdue,X
T000033,C00032,Hours,2022-01-23,31400.00,,Overdue,Y
T000034,C00251,expense,04/15/2021,24.412K,,N/A,Y
T000035,C00103,payment,07/12/2022,34264,,Complete,X
