case_id,customer_id,solicitor_name,case_type,case_status,case_value_gbp,total_timesheet_amount_gbp,total_expense_amount_gbp,total_invoice_amount_gbp,total_payment_amount_gbp,total_hours_billed,outstanding_amount_gbp,payment_risk_band
CASE0001,95,Richard Evans,Litigation,Pending,104709.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0002,15,Jennifer Thomas,Immigration,Closed,241518.0,35615.0,0.0,35615.0,0.0,39.0,35615.0,Medium
CASE0003,86,Sarah Jones,Corporate,Closed,283275.0,31773.0,0.0,31773.0,0.0,27.5,31773.0,Medium
CASE0004,100,Jennifer Thomas,Immigration,Open,431534.0,0.0,0.0,55312.0,40130.0,0.0,15182.0,Low
CASE0005,46,Susan Robinson,General,Pending,373153.0,0.0,0.0,5001.0,15410.0,0.0,0.0,Low
CASE0006,165,Robert Smith,Contract Law,Closed,247972.0,0.0,0.0,0.0,19610.0,0.0,0.0,Low
CASE0007,149,Karen Edwards,Commercial,Closed,39337.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0008,19,Lisa Johnson,General,Open,463150.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0009,9,Richard Evans,Corporate,Closed,196887.0,0.0,0.0,64158.0,34213.0,0.0,29945.0,Medium
CASE0010,28,Daniel Hughes,Contract Law,Pending,109073.0,35838.0,0.0,35838.0,0.0,57.7,35838.0,Medium
CASE0011,93,Andrew Roberts,Property Law,Pending,490639.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0012,98,Andrew Roberts,Intellectual Property,Open,366061.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0013,45,Daniel Hughes,Litigation,Open,386886.0,0.0,43765.0,43765.0,0.0,0.0,43765.0,Medium
CASE0014,138,Emma Wilson,General,Closed,118931.0,0.0,0.0,46263.0,42479.0,0.0,3784.0,Low
CASE0015,75,Michael Brown,Employment,Pending,258988.0,29958.0,7395.0,44446.0,0.0,24.3,44446.0,Medium
CASE0016,4,Richard Evans,Commercial,Closed,64682.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0017,122,Jennifer Thomas,General,Pending,424179.0,0.0,0.0,10856.0,0.0,0.0,10856.0,Low
CASE0018,103,Richard Evans,Contract Law,Closed,11369.0,0.0,83488.0,83488.0,24448.0,0.0,59040.0,Medium
CASE0019,36,Andrew Roberts,Wills & Probate,Pending,428845.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0020,19,Robert Smith,Contract Law,Open,414045.0,0.0,0.0,0.0,26921.0,0.0,0.0,Low
CASE0021,134,Charles Thompson,Litigation,Open,91459.0,0.0,14532.0,52580.0,0.0,0.0,52580.0,Medium
CASE0022,67,Richard Evans,Corporate,Pending,375516.0,4551.0,0.0,49989.0,47307.0,0.9,2682.0,Low
CASE0023,41,Jennifer Thomas,Wills & Probate,Open,422670.0,23029.0,0.0,23029.0,0.0,32.9,23029.0,Low
CASE0024,112,Susan Robinson,Conveyancing,Open,90776.0,32294.0,40206.0,72500.0,0.0,14.1,72500.0,Medium
CASE0025,58,Emma Wilson,Wills & Probate,Pending,352055.0,0.0,35813.0,16450.0,50763.0,0.0,0.0,Low
CASE0026,102,Robert Smith,General,Closed,127023.0,56082.0,0.0,56082.0,0.0,40.9,56082.0,Medium
CASE0027,28,Charles Thompson,Wills & Probate,Pending,165763.0,0.0,21010.0,2878.0,0.0,0.0,2878.0,Low
CASE0028,69,Sarah Jones,Immigration,Closed,71057.0,82482.0,0.0,97809.0,0.0,26.8,97809.0,Medium
CASE0029,79,James Davies,Family Law,Closed,83856.0,600.0,24138.0,24738.0,13107.0,0.0,11631.0,Low
CASE0030,102,David Taylor,Commercial,Pending,355328.0,43023.0,0.0,29393.0,0.0,34.8,29393.0,Medium
CASE0031,164,James Davies,Commercial,Open,303597.0,41719.0,0.0,41719.0,13740.0,12.0,27979.0,Medium
CASE0032,63,Susan Robinson,General,Open,410700.0,0.0,6110.0,6110.0,0.0,0.0,6110.0,Low
CASE0033,169,Andrew Roberts,General,Closed,102118.0,0.0,20871.0,20871.0,0.0,0.0,20871.0,Low
CASE0034,44,Karen Edwards,Conveyancing,Open,431449.0,7540.0,0.0,7540.0,0.0,10.0,7540.0,Low
CASE0035,59,James Davies,Contract Law,Closed,219178.0,0.0,0.0,34978.0,0.0,0.0,34978.0,Medium
CASE0036,144,Jennifer Thomas,Wills & Probate,Open,305850.0,0.0,0.0,3658.0,0.0,0.0,3658.0,Low
CASE0037,166,Lisa Johnson,General,Pending,175644.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0038,53,Emma Wilson,Property Law,Open,6017.0,0.0,61195.0,44479.0,0.0,0.0,44479.0,Medium
CASE0039,47,Jennifer Thomas,Property Law,Open,220590.0,31988.0,0.0,31988.0,0.0,12.3,31988.0,Medium
CASE0040,140,David Taylor,Employment,Closed,336378.0,39292.0,28452.0,67744.0,28423.0,34.3,39321.0,Medium
CASE0041,142,Jennifer Thomas,Dispute Resolution,Closed,432457.0,0.0,37171.0,37171.0,0.0,0.0,37171.0,Medium
CASE0042,140,Lisa Johnson,Contract Law,Closed,214581.0,0.0,0.0,0.0,47151.0,0.0,0.0,Low
CASE0043,83,Lisa Johnson,Litigation,Open,33688.0,0.0,0.0,0.0,23208.0,0.0,0.0,Low
CASE0044,84,Charles Thompson,General,Closed,376951.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
CASE0045,18,Robert Smith,Intellectual Property,Pending,453864.0,20145.0,0.0,63780.0,0.0,31.4,63780.0,Medium
CASE0046,33,Jennifer Thomas,Employment,Closed,26372.0,0.0,0.0,0.0,43242.0,0.0,0.0,Low
CASE0047,97,Robert Smith,Corporate,Closed,328652.0,43162.0,0.0,43162.0,0.0,4.8,43162.0,Medium
CASE0048,49,Michael Brown,Conveyancing,Pending,347900.0,0.0,0.0,0.0,15421.0,0.0,0.0,Low
CASE0049,157,Emma Wilson,Intellectual Property,Open,407273.0,0.0,37157.0,27378.0,0.0,0.0,27378.0,Medium
