transaction_id,case_id,transaction_type,transaction_date,amount_gbp,hours_worked,payment_status
TXN000001,CASE0133,Timesheet,19/11/2022,8586,9.1,Paid
TXN000002,CASE0480,Timesheet,16/09/2022,49903,34.8,Unpaid
TXN000003,CASE0046,Payment,31/01/2022,43242,,Paid
TXN000004,CASE0098,Timesheet,12/12/2021,41400,30.5,Paid
TXN000005,CASE0390,Invoice,16/10/2023,32666,,Pending
TXN000006,CASE0375,Expense,06/12/2023,47547,,Unpaid
TXN000007,CASE0146,Payment,18/02/2021,14178,,Unpaid
TXN000008,CASE0470,Expense,21/01/2021,26717,,Pending
TXN000009,CASE0455,Invoice,07/05/2021,44706,,Unpaid
TXN000010,CASE0492,Timesheet,25/02/2022,11313,23.3,Overdue
TXN000011,CASE0252,Other,02/01/2023,5029,,Paid
TXN000012,CASE0462,Timesheet,03/12/2023,3187,14.4,Paid
TXN000013,CASE0038,Expense,12/10/2022,31645,,Unpaid
TXN000014,CASE0310,Timesheet,08/07/2023,25021,,Pending
TXN000015,CASE0025,Expense,16/12/2023,14488,,Pending
TXN000016,CASE0147,Payment,14/06/2021,38101,,Paid
TXN000017,CASE0235,Expense,31/03/2021,24564,,Overdue
TXN000018,CASE0064,Timesheet,23/11/2021,3338,2.9,Pending
TXN000019,CASE0015,Timesheet,04/10/2022,29958,24.3,Paid
TXN000020,CASE0028,Invoice,15/08/2021,40808,,Paid
TXN000021,CASE0102,Timesheet,01/03/2021,34135,,Paid
TXN000022,CASE0429,Expense,26/05/2021,14460,,Unpaid
TXN000023,CASE0500,Invoice,27/08/2023,33875,,Overdue
TXN000024,CASE0397,Other,16/08/2022,24674,,Pending
TXN000025,CASE0453,Invoice,19/10/2022,47201,,Overdue
TXN000026,CASE0312,Timesheet,26/01/2021,18207,24.5,Overdue
TXN000027,CASE0043,Payment,01/03/2021,6265,,Paid
TXN000028,CASE0242,Invoice,18/12/2021,19287,,Pending
TXN000029,CASE0077,Payment,02/05/2021,45234,,Paid
TXN000030,CASE0341,Payment,27/05/2022,29104,,Overdue
TXN000031,CASE0417,Payment,22/03/2022,27678,,Overdue
TXN000032,CASE0441,Payment,05/08/2023,8731,,Overdue
TXN000033,CASE0029,Payment,19/10/2022,13107,,Pending
TXN000034,CASE0343,Expense,17/04/2021,7861,,Unpaid
TXN000035,CASE0303,Payment,11/07/2023,39169,,Overdue
TXN000036,CASE0104,Timesheet,08/04/2021,33804,19.2,Overdue
TXN000037,CASE0356,Invoice,28/11/2023,47415,,Paid
TXN000038,CASE0464,Timesheet,06/10/2022,16887,28.3,Pending
TXN000039,CASE0319,Payment,20/11/2021,35712,,Overdue
TXN000040,CASE0273,Invoice,02/09/2022,14742,,Pending
TXN000041,CASE0279,Expense,09/04/2023,49204,,Unpaid
TXN000042,CASE0166,Payment,26/07/2021,11033,,Pending
TXN000043,CASE0021,Invoice,19/04/2022,19842,,Overdue
TXN000044,CASE0102,Timesheet,12/06/2021,3725,7.0,Overdue
TXN000045,CASE0020,Payment,21/11/2023,26921,,Paid
TXN000046,CASE0443,Timesheet,24/06/2023,8497,30.9,Pending
TXN000047,CASE0242,Invoice,17/10/2022,15688,,Unpaid
TXN000048,CASE0431,Payment,05/01/2022,32445,,Paid
TXN000049,CASE0334,Expense,23/11/2023,24336,,Pending
TXN000050,CASE0082,Timesheet,12/11/2022,14304,14.6,Pending
TXN000051,CASE0414,Invoice,21/07/2021,16319,,Overdue
TXN000052,CASE0287,Expense,10/02/2022,38082,,Paid
TXN000053,CASE0005,Other,18/10/2022,44949,,Overdue
TXN000054,CASE0223,Payment,14/11/2023,23622,,Paid
TXN000055,CASE0167,Other,06/11/2022,47035,,Pending
TXN000056,CASE0391,Timesheet,07/07/2022,41275,20.8,Overdue
TXN000057,CASE0485,Timesheet,23/12/2023,29510,38.0,Paid
TXN000058,CASE0485,Other,26/05/2022,25680,,Pending
TXN000059,CASE0128,Timesheet,10/05/2021,40086,32.6,Unpaid
TXN000060,CASE0437,Other,19/02/2021,32741,,Unpaid
TXN000061,CASE0229,Timesheet,05/11/2023,5375,17.9,Pending
TXN000062,CASE0074,Expense,18/03/2021,42413,,Unpaid
TXN000063,CASE0111,Payment,25/06/2022,48229,,Paid
TXN000064,CASE0055,Payment,03/07/2022,47849,,Unpaid
TXN000065,CASE0327,Expense,16/09/2021,28829,,Unpaid
TXN000066,CASE0452,Invoice,29/07/2021,43322,,Overdue
TXN000067,CASE0233,Payment,19/01/2021,45772,,Paid
TXN000068,CASE0242,Invoice,13/01/2023,46508,,Paid
TXN000069,CASE0296,Payment,27/02/2023,27495,,Unpaid
TXN000070,CASE0454,Other,25/07/2021,18343,,Paid
TXN000071,CASE0131,Other,08/08/2023,36458,,Paid
TXN000072,CASE0147,Payment,18/11/2021,29712,,Overdue
TXN000073,CASE0378,Expense,10/01/2022,45706,,Paid
TXN000074,CASE0109,Payment,27/07/2021,35065,,Overdue
TXN000075,CASE0439,Expense,05/05/2021,43961,,Paid
TXN000076,CASE0471,Timesheet,08/08/2022,39825,36.4,Paid
TXN000077,CASE0184,Invoice,06/09/2022,33577,,Overdue
TXN000078,CASE0109,Other,13/03/2021,11798,,Paid
TXN000079,CASE0333,Invoice,25/07/2023,2047,,Unpaid
TXN000080,CASE0084,Timesheet,26/06/2023,1949,37.1,Overdue
TXN000081,CASE0293,Timesheet,06/01/2021,32130,14.8,Overdue
TXN000082,CASE0254,Expense,03/08/2022,9252,,Paid
TXN000083,CASE0161,Other,15/10/2021,25465,,Paid
TXN000084,CASE0025,Expense,14/10/2022,21325,,Pending
TXN000085,CASE0397,Other,03/08/2023,36305,,Paid
TXN000086,CASE0146,Invoice,06/07/2021,20535,,Unpaid
TXN000087,CASE0443,Expense,24/07/2021,5507,,Pending
TXN000088,CASE0051,Timesheet,20/03/2022,19854,15.9,Unpaid
TXN000089,CASE0072,Expense,09/08/2022,32860,,Paid
TXN000090,CASE0031,Timesheet,25/05/2022,41719,12.0,Unpaid
TXN000091,CASE0302,Timesheet,10/10/2021,41489,17.3,Paid
TXN000092,CASE0133,Invoice,04/11/2022,15582,,Overdue
TXN000093,CASE0118,Expense,13/01/2023,4543,,Unpaid
TXN000094,CASE0440,Invoice,27/04/2023,35914,,Paid
TXN000095,CASE0257,Expense,16/03/2021,48842,,Paid
TXN000096,CASE0293,Expense,28/10/2023,16907,,Paid
TXN000097,CASE0450,Other,07/04/2021,33578,,Unpaid
TXN000098,CASE0375,Invoice,30/08/2021,46246,,Pending
TXN000099,CASE0012,Other,18/01/2022,11323,,Overdue
TXN000100,CASE0262,Payment,30/04/2023,1405,,Paid
TXN000101,CASE0109,Expense,16/09/2022,10394,,Paid
TXN000102,CASE0344,Timesheet,27/06/2022,37676,33.1,Paid
TXN000103,CASE0116,Timesheet,29/05/2023,5564,20.0,Paid
TXN000104,CASE0065,Invoice,27/03/2023,29445,,Paid
TXN000105,CASE0107,Timesheet,02/10/2021,9908,35.9,Unpaid
TXN000106,CASE0349,Invoice,31/05/2022,44305,,Overdue
TXN000107,CASE0221,Other,24/09/2023,20820,,Overdue
TXN000108,CASE0375,Payment,25/04/2022,759,,Paid
TXN000109,CASE0456,Timesheet,20/09/2023,37052,,Paid
TXN000110,CASE0296,Invoice,31/01/2022,35835,,Pending
TXN000111,CASE0355,Invoice,03/10/2021,34706,,Unpaid
TXN000112,CASE0118,Invoice,09/05/2021,26611,,Overdue
TXN000113,CASE0213,Timesheet,14/01/2021,47335,3.6,Overdue
TXN000114,CASE0028,Timesheet,25/05/2021,15368,3.4,Overdue
TXN000115,CASE0105,Payment,13/04/2022,14232,,Unpaid
TXN000116,CASE0114,Expense,29/12/2021,26376,,Paid
TXN000117,CASE0004,Payment,07/03/2023,40130,,Pending
TXN000118,CASE0363,Timesheet,05/04/2021,15623,35.8,Overdue
TXN000119,CASE0184,Invoice,18/10/2023,48869,,Paid
TXN000120,CASE0242,Invoice,06/04/2023,1914,,Paid
TXN000121,CASE0452,Expense,10/07/2022,20272,,Paid
TXN000122,CASE0162,Expense,11/05/2022,18283,,Unpaid
TXN000123,CASE0361,Expense,24/06/2021,46844,,Overdue
TXN000124,CASE0170,Timesheet,25/10/2021,20480,20.7,Overdue
TXN000125,CASE0340,Invoice,11/10/2023,3499,,Unpaid
TXN000126,CASE0018,Payment,05/11/2022,24448,,Paid
TXN000127,CASE0469,Payment,06/12/2023,1957,,Pending
TXN000128,CASE0316,Timesheet,09/08/2023,33687,22.3,Paid
TXN000129,CASE0263,Payment,29/01/2022,13232,,Paid
TXN000130,CASE0055,Other,25/07/2021,39576,,Unpaid
TXN000131,CASE0182,Other,31/07/2023,8787,,Overdue
TXN000132,CASE0375,Expense,07/02/2023,28592,,Overdue
TXN000133,CASE0434,Timesheet,17/07/2023,16191,30.9,Paid
TXN000134,CASE0332,Other,16/08/2021,19933,,Paid
TXN000135,CASE0429,Payment,27/11/2021,22636,,Overdue
TXN000136,CASE0097,Invoice,27/08/2021,20437,,Paid
TXN000137,CASE0018,Expense,15/08/2023,44253,,Pending
TXN000138,CASE0211,Payment,08/08/2022,27236,,Paid
TXN000139,CASE0072,Payment,07/08/2023,37043,,Unpaid
TXN000140,CASE0067,Expense,01/08/2022,16875,,Pending
TXN000141,CASE0025,Payment,31/10/2022,30573,,Pending
TXN000142,CASE0228,Invoice,22/10/2021,4736,,Paid
TXN000143,CASE0461,Payment,16/09/2023,4263,,Paid
TXN000144,CASE0123,Payment,08/06/2021,21098,,Paid
TXN000145,CASE0452,Payment,09/11/2022,8134,,Paid
TXN000146,CASE0444,Expense,13/02/2021,26250,,Paid
TXN000147,CASE0367,Other,29/11/2021,29424,,Unpaid
TXN000148,CASE0276,Invoice,09/05/2023,29734,,Paid
TXN000149,CASE0182,Other,16/10/2021,24430,,Overdue
TXN000150,CASE0272,Timesheet,07/09/2023,18456,28.8,Unpaid
TXN000151,CASE0004,Invoice,28/05/2022,34564,,Pending
TXN000152,CASE0294,Invoice,17/08/2022,2732,,Overdue
TXN000153,CASE0322,Other,21/09/2023,34781,,Paid
TXN000154,CASE0348,Other,29/09/2023,38997,,Pending
TXN000155,CASE0045,Timesheet,07/06/2022,15834,19.5,Paid
TXN000156,CASE0400,Invoice,07/07/2021,26180,,Paid
TXN000157,CASE0323,Timesheet,01/05/2023,24397,11.5,Paid
TXN000158,CASE0243,Invoice,19/02/2023,44082,,Paid
TXN000159,CASE0276,Payment,02/12/2022,2295,,Overdue
TXN000160,CASE0300,Timesheet,03/12/2022,6579,34.1,Unpaid
TXN000161,CASE0010,Timesheet,31/01/2021,35290,30.4,Overdue
TXN000162,CASE0057,Invoice,20/05/2023,47669,,Paid
TXN000163,CASE0260,Payment,18/05/2023,20091,,Pending
TXN000164,CASE0050,Timesheet,08/10/2023,17342,38.0,Unpaid
TXN000165,CASE0176,Other,01/09/2021,49876,,Unpaid
TXN000166,CASE0147,Payment,18/06/2022,39089,,Overdue
TXN000167,CASE0056,Timesheet,22/11/2023,23554,25.3,Overdue
TXN000168,CASE0448,Other,26/02/2021,38030,,Paid
TXN000169,CASE0135,Other,10/05/2022,22025,,Paid
TXN000170,CASE0441,Timesheet,30/01/2023,41232,,Paid
TXN000171,CASE0156,Timesheet,22/08/2023,34496,20.8,Unpaid
TXN000172,CASE0170,Invoice,09/05/2021,32659,,Unpaid
TXN000173,CASE0268,Other,18/10/2022,24207,,Unpaid
TXN000174,CASE0033,Expense,11/03/2021,341,,Unpaid
TXN000175,CASE0196,Invoice,14/02/2023,49618,,Unpaid
TXN000176,CASE0022,Other,13/12/2021,45200,,Pending
TXN000177,CASE0145,Timesheet,04/04/2023,27956,32.8,Paid
TXN000178,CASE0377,Timesheet,14/08/2023,8380,30.2,Pending
TXN000179,CASE0410,Expense,07/10/2021,6490,,Paid
TXN000180,CASE0449,Payment,13/10/2022,7080,,Paid
TXN000181,CASE0253,Timesheet,18/03/2021,4010,18.0,Unpaid
TXN000182,CASE0450,Other,09/04/2022,44420,,Paid
TXN000183,CASE0302,Other,25/05/2021,31546,,Paid
TXN000184,CASE0429,Payment,18/06/2023,39604,,Pending
TXN000185,CASE0178,Timesheet,12/04/2021,47389,4.9,Overdue
TXN000186,CASE0362,Payment,03/09/2022,32110,,Pending
TXN000187,CASE0227,Invoice,10/04/2023,18593,,Pending
TXN000188,CASE0026,Timesheet,06/04/2021,45185,25.0,Paid
TXN000189,CASE0423,Invoice,21/01/2023,36707,,Paid
TXN000190,CASE0023,Timesheet,15/06/2023,23029,32.9,Unpaid
TXN000191,CASE0194,Invoice,04/05/2022,25807,,Unpaid
TXN000192,CASE0183,Payment,29/10/2022,1938,,Unpaid
TXN000193,CASE0261,Invoice,24/08/2022,16912,,Paid
TXN000194,CASE0105,Expense,23/08/2022,4812,,Pending
TXN000195,CASE0291,Payment,08/02/2022,37751,,Unpaid
TXN000196,CASE0379,Timesheet,13/06/2023,38155,,Unpaid
TXN000197,CASE0072,Expense,15/05/2022,9126,,Paid
TXN000198,CASE0462,Expense,15/08/2022,37311,,Overdue
TXN000199,CASE0056,Timesheet,11/03/2021,4793,17.4,Paid
TXN000200,CASE0270,Invoice,23/07/2023,10763,,Overdue
TXN000201,CASE0200,Expense,04/04/2023,5549,,Overdue
TXN000202,CASE0151,Other,06/06/2023,49797,,Paid
TXN000203,CASE0298,Invoice,18/01/2022,47239,,Paid
TXN000204,CASE0271,Timesheet,05/11/2023,45355,8.0,Paid
TXN000205,CASE0246,Timesheet,31/05/2022,752,12.9,Overdue
TXN000206,CASE0468,Expense,06/11/2021,15278,,Paid
TXN000207,CASE0110,Payment,19/03/2023,6632,,Pending
TXN000208,CASE0102,Other,29/01/2023,10095,,Unpaid
TXN000209,CASE0123,Invoice,08/12/2022,3437,,Pending
TXN000210,CASE0326,Timesheet,24/12/2022,21023,25.0,Pending
TXN000211,CASE0198,Invoice,30/08/2021,7961,,Overdue
TXN000212,CASE0416,Payment,30/12/2021,11866,,Overdue
TXN000213,CASE0115,Payment,30/01/2022,32466,,Paid
TXN000214,CASE0259,Invoice,20/03/2022,37649,,Paid
TXN000215,CASE0400,Other,03/05/2023,37999,,Overdue
TXN000216,CASE0132,Invoice,13/04/2023,10457,,Overdue
TXN000217,CASE0187,Invoice,05/05/2021,29289,,Unpaid
TXN000218,CASE0354,Timesheet,17/03/2022,2333,13.4,Unpaid
TXN000219,CASE0053,Payment,04/08/2023,12100,,Paid
TXN000220,CASE0467,Timesheet,01/08/2022,26096,38.5,Paid
TXN000221,CASE0340,Timesheet,07/12/2022,28778,26.2,Unpaid
TXN000222,CASE0378,Expense,14/05/2023,8359,,Overdue
TXN000223,CASE0178,Payment,18/06/2023,16920,,Overdue
TXN000224,CASE0173,Expense,24/07/2022,27090,,Paid
TXN000225,CASE0459,Payment,16/01/2022,29009,,Overdue
TXN000226,CASE0355,Invoice,04/09/2021,32322,,Unpaid
TXN000227,CASE0246,Expense,18/03/2022,39337,,Overdue
TXN000228,CASE0208,Invoice,21/03/2022,6773,,Unpaid
TXN000229,CASE0225,Timesheet,21/10/2021,20716,23.9,Pending
TXN000230,CASE0387,Other,04/11/2023,36602,,Overdue
TXN000231,CASE0255,Other,14/01/2021,25813,,Paid
TXN000232,CASE0385,Timesheet,13/10/2023,48142,5.3,Pending
TXN000233,CASE0064,Timesheet,20/06/2022,30364,23.0,Overdue
TXN000234,CASE0153,Expense,03/09/2023,41748,,Paid
TXN000235,CASE0347,Timesheet,07/12/2023,26379,32.7,Paid
TXN000236,CASE0449,Invoice,20/04/2021,48025,,Overdue
TXN000237,CASE0262,Timesheet,20/02/2023,25811,25.0,Overdue
TXN000238,CASE0314,Other,16/02/2023,6218,,Unpaid
TXN000239,CASE0263,Expense,28/09/2021,15148,,Pending
TXN000240,CASE0281,Expense,18/12/2023,31795,,Pending
TXN000241,CASE0405,Payment,16/12/2021,10007,,Paid
TXN000242,CASE0204,Timesheet,14/10/2022,48524,9.4,Pending
TXN000243,CASE0135,Other,13/10/2021,13797,,Unpaid
TXN000244,CASE0130,Timesheet,15/03/2023,2174,,Paid
TXN000245,CASE0376,Payment,23/04/2022,366,,Pending
TXN000246,CASE0270,Invoice,15/01/2023,9500,,Overdue
TXN000247,CASE0087,Expense,26/03/2023,42703,,Overdue
TXN000248,CASE0197,Timesheet,07/12/2021,43498,5.2,Overdue
TXN000249,CASE0377,Expense,12/09/2023,7037,,Paid
TXN000250,CASE0239,Timesheet,04/06/2022,39395,,Overdue
TXN000251,CASE0301,Timesheet,09/07/2022,44243,36.8,Unpaid
TXN000252,CASE0399,Payment,21/03/2023,32321,,Overdue
TXN000253,CASE0095,Other,26/09/2023,20818,,Unpaid
TXN000254,CASE0281,Timesheet,06/08/2022,40304,,Pending
TXN000255,CASE0270,Payment,29/05/2021,20267,,Paid
TXN000256,CASE0458,Timesheet,30/01/2022,23099,20.8,Pending
TXN000257,CASE0153,Invoice,25/02/2023,3039,,Pending
TXN000258,CASE0492,Other,11/03/2021,8975,,Pending
TXN000259,CASE0206,Payment,09/04/2022,45137,,Pending
TXN000260,CASE0404,Payment,03/11/2023,45812,,Paid
TXN000261,CASE0182,Invoice,30/09/2023,42088,,Unpaid
TXN000262,CASE0202,Invoice,12/03/2021,44486,,Unpaid
TXN000263,CASE0442,Payment,28/02/2021,17648,,Overdue
TXN000264,CASE0148,Invoice,21/02/2023,33286,,Paid
TXN000265,CASE0162,Payment,04/12/2022,26137,,Overdue
TXN000266,CASE0161,Other,07/11/2021,36584,,Paid
TXN000267,CASE0099,Expense,09/02/2021,12653,,Overdue
TXN000268,CASE0027,Invoice,24/12/2021,2878,,Pending
TXN000269,CASE0489,Payment,01/09/2023,36658,,Overdue
TXN000270,CASE0445,Other,22/03/2022,38465,,Unpaid
TXN000271,CASE0186,Expense,06/08/2023,6443,,Paid
TXN000272,CASE0269,Expense,07/08/2022,37474,,Paid
TXN000273,CASE0462,Timesheet,18/06/2023,18501,13.5,Paid
TXN000274,CASE0421,Payment,22/11/2021,3968,,Unpaid
TXN000275,CASE0433,Other,27/11/2021,11437,,Paid
TXN000276,CASE0345,Payment,22/07/2021,5586,,Unpaid
TXN000277,CASE0302,Invoice,11/08/2023,16555,,Unpaid
TXN000278,CASE0323,Payment,02/03/2022,25718,,Paid
TXN000279,CASE0154,Payment,25/11/2022,10562,,Pending
TXN000280,CASE0014,Invoice,05/03/2023,46263,,Overdue
TXN000281,CASE0285,Timesheet,15/08/2021,15275,9.0,Unpaid
TXN000282,CASE0407,Payment,06/02/2022,3159,,Unpaid
TXN000283,CASE0009,Invoice,29/09/2021,29631,,Pending
TXN000284,CASE0182,Expense,10/06/2022,42984,,Paid
TXN000285,CASE0122,Invoice,15/10/2021,15203,,Overdue
TXN000286,CASE0394,Timesheet,23/11/2022,20089,7.7,Paid
TXN000287,CASE0243,Timesheet,12/03/2022,28145,6.5,Overdue
TXN000288,CASE0140,Expense,02/10/2021,49305,,Overdue
TXN000289,CASE0030,Invoice,22/04/2022,4258,,Unpaid
TXN000290,CASE0158,Timesheet,28/02/2021,26106,14.1,Pending
TXN000291,CASE0330,Other,14/11/2021,19607,,Paid
TXN000292,CASE0446,Timesheet,12/07/2023,6086,27.8,Overdue
TXN000293,CASE0195,Expense,22/08/2022,20981,,Unpaid
TXN000294,CASE0385,Invoice,23/04/2021,41476,,Unpaid
TXN000295,CASE0013,Other,04/06/2021,17729,,Overdue
TXN000296,CASE0451,Timesheet,30/01/2022,48079,22.8,Unpaid
TXN000297,CASE0464,Other,26/11/2022,38998,,Overdue
TXN000298,CASE0415,Expense,08/04/2022,17013,,Pending
TXN000299,CASE0225,Timesheet,13/03/2022,34795,23.1,Overdue
TXN000300,CASE0376,Other,23/05/2023,42167,,Unpaid
TXN000301,CASE0441,Expense,19/02/2021,16806,,Overdue
TXN000302,CASE0475,Invoice,26/03/2021,45201,,Overdue
TXN000303,CASE0033,Expense,06/07/2021,20530,,Paid
TXN000304,CASE0121,Invoice,19/04/2022,36814,,Unpaid
TXN000305,CASE0376,Payment,26/05/2021,12864,,Unpaid
TXN000306,CASE0285,Invoice,15/07/2021,5980,,Pending
TXN000307,CASE0187,Other,28/06/2022,19997,,Unpaid
