transaction_id,transaction_date,transaction_type,case_id,customer_id,solicitor_name,hours_worked,hourly_rate_gbp,expense_amount_gbp,invoice_number,payment_amount_gbp,payment_method,payment_date,transaction_status,description,category
TXN001,2023-01-20,Timesheet,CASE001,C001,Sarah Jones,12.5,250,0.0,INV-2023-001,0.0,,,Recorded,Legal research and document preparation,Professional Fees
TXN002,2023-01-25,Expense,CASE001,C001,Sarah Jones,0.0,0.0,45.50,INV-2023-001,0.0,,,Recorded,Land Registry search fees,Disbursements
TXN003,2023-02-01,Invoice,CASE001,C001,Sarah Jones,0.0,0.0,0.0,INV-2023-001,3170.50,,,Sent,Invoice for conveyancing services,Billing
TXN004,2023-02-15,Payment,CASE001,C001,,0.0,0.0,0.0,INV-2023-001,3170.50,Bank Transfer,2023-02-15,Cleared,Payment received for INV-2023-001,Payment
TXN005,2023-02-18,Timesheet,CASE002,C002,Robert Smith,8.0,350,0.0,INV-2023-002,0.0,,,Recorded,Corporate merger consultation,Professional Fees
TXN006,2023-02-20,Timesheet,CASE002,C002,Robert Smith,15.5,350,0.0,INV-2023-002,0.0,,,Recorded,Due diligence review,Professional Fees
TXN007,2023-02-25,Expense,CASE002,C002,Robert Smith,0.0,0.0,150.00,INV-2023-002,0.0,,,Recorded,Companies House filing fees,Disbursements
TXN008,2023-03-01,Invoice,CASE002,C002,Robert Smith,0.0,0.0,0.0,INV-2023-002,8375.00,,,Sent,Corporate law services invoice,Billing
TXN009,2023-03-10,Timesheet,CASE003,C003,Sarah Jones,6.0,250,0.0,INV-2023-003,0.0,,,Recorded,Family law consultation,Professional Fees
TXN010,2023-03-15,Timesheet,CASE003,C003,Sarah Jones,8.5,250,0.0,INV-2023-003,0.0,,,Recorded,Divorce proceedings preparation,Professional Fees
TXN011,2023-03-20,Expense,CASE003,C003,Sarah Jones,0.0,0.0,75.00,INV-2023-003,0.0,,,Recorded,Court filing fees,Disbursements
TXN012,2023-04-01,Invoice,CASE003,C003,Sarah Jones,0.0,0.0,0.0,INV-2023-003,3700.00,,,Sent,Family law services,Billing
TXN013,2023-04-10,Payment,CASE003,C003,,0.0,0.0,0.0,INV-2023-003,3700.00,Cheque,2023-04-10,Cleared,Payment received,Payment
TXN014,2023-03-15,Timesheet,CASE005,C005,Michael Brown,20.0,275,0.0,INV-2023-005,0.0,,,Recorded,Litigation case analysis,Professional Fees
TXN015,2023-03-20,Timesheet,CASE005,C005,Michael Brown,18.5,275,0.0,INV-2023-005,0.0,,,Recorded,Witness statement preparation,Professional Fees
TXN016,2023-03-25,Expense,CASE005,C005,Michael Brown,0.0,0.0,250.00,INV-2023-005,0.0,,,Recorded,Expert witness fees,Disbursements
TXN017,2023-04-01,Invoice,CASE005,C005,Michael Brown,0.0,0.0,0.0,INV-2023-005,10837.50,,,Sent,Litigation services,Billing
TXN018,2023-04-15,Timesheet,CASE006,C006,Sarah Jones,9.0,250,0.0,INV-2023-006,0.0,,,Recorded,Employment law consultation,Professional Fees
TXN019,2023-04-20,Expense,CASE006,C006,Sarah Jones,0.0,0.0,50.00,INV-2023-006,0.0,,,Recorded,Employment tribunal fees,Disbursements
TXN020,2023-05-01,Invoice,CASE006,C006,Sarah Jones,0.0,0.0,0.0,INV-2023-006,2300.00,,,Sent,Employment law services,Billing
TXN021,2023-05-15,Payment,CASE006,C006,,0.0,0.0,0.0,INV-2023-006,2300.00,Bank Transfer,2023-05-15,Cleared,Payment received,Payment
TXN022,2023-04-20,Timesheet,CASE007,C002,Robert Smith,25.0,350,0.0,INV-2023-007,0.0,,,Recorded,Corporate law advisory,Professional Fees
TXN023,2023-04-25,Expense,CASE007,C002,Robert Smith,0.0,0.0,200.00,INV-2023-007,0.0,,,Recorded,Legal documentation fees,Disbursements
TXN024,2023-05-01,Invoice,CASE007,C002,Robert Smith,0.0,0.0,0.0,INV-2023-007,8950.00,,,Sent,Corporate services,Billing
TXN025,2023-04-25,Timesheet,CASE008,C008,Michael Brown,5.5,275,0.0,INV-2023-008,0.0,,,Recorded,Wills and probate consultation,Professional Fees
TXN026,2023-05-01,Invoice,CASE008,C008,Michael Brown,0.0,0.0,0.0,INV-2023-008,1512.50,,,Sent,Probate services,Billing
TXN027,2023-05-10,Payment,CASE008,C008,,0.0,0.0,0.0,INV-2023-008,1512.50,Credit Card,2023-05-10,Cleared,Payment received,Payment
TXN028,2023-05-15,Timesheet,CASE009,C009,Sarah Jones,18.0,250,0.0,INV-2023-009,0.0,,,Recorded,Commercial property transaction,Professional Fees
TXN029,2023-05-20,Expense,CASE009,C009,Sarah Jones,0.0,0.0,180.00,INV-2023-009,0.0,,,Recorded,Property searches,Disbursements
TXN030,2023-06-01,Invoice,CASE009,C009,Sarah Jones,0.0,0.0,0.0,INV-2023-009,4680.00,,,Sent,Commercial property services,Billing
TXN031,2023-06-10,Timesheet,CASE011,C011,Robert Smith,22.0,350,0.0,INV-2023-011,0.0,,,Recorded,Construction law consultation,Professional Fees
TXN032,2023-06-15,Timesheet,CASE011,C011,Robert Smith,28.5,350,0.0,INV-2023-011,0.0,,,Recorded,Contract review and negotiation,Professional Fees
TXN033,2023-06-20,Expense,CASE011,C011,Robert Smith,0.0,0.0,125.00,INV-2023-011,0.0,,,Recorded,Document certification,Disbursements
TXN034,2023-07-01,Invoice,CASE011,C011,Robert Smith,0.0,0.0,0.0,INV-2023-011,17800.00,,,Sent,Construction law services,Billing
TXN035,2023-06-20,Timesheet,CASE012,C012,Sarah Jones,7.0,250,0.0,INV-2023-012,0.0,,,Recorded,Probate administration,Professional Fees
TXN036,2023-06-25,Expense,CASE012,C012,Sarah Jones,0.0,0.0,95.00,INV-2023-012,0.0,,,Recorded,Probate registry fees,Disbursements
TXN037,2023-07-01,Invoice,CASE012,C012,Sarah Jones,0.0,0.0,0.0,INV-2023-012,1845.00,,,Sent,Probate services,Billing
TXN038,2023-07-10,Payment,CASE012,C012,,0.0,0.0,0.0,INV-2023-012,1845.00,Bank Transfer,2023-07-10,Cleared,Payment received,Payment
TXN039,2023-06-25,Timesheet,CASE013,C002,Robert Smith,19.0,350,0.0,INV-2023-013,0.0,,,Recorded,Merger documentation,Professional Fees
TXN040,2023-07-01,Invoice,CASE013,C002,Robert Smith,0.0,0.0,0.0,INV-2023-013,6650.00,,,Sent,Corporate merger services,Billing
TXN041,2023-07-05,Timesheet,CASE014,C014,Michael Brown,5.0,275,0.0,INV-2023-014,0.0,,,Recorded,Personal injury consultation,Professional Fees
TXN042,2023-07-10,Timesheet,CASE014,C014,Michael Brown,8.5,275,0.0,INV-2023-014,0.0,,,Recorded,Claim preparation,Professional Fees
TXN043,2023-07-15,Expense,CASE014,C014,Michael Brown,0.0,0.0,150.00,INV-2023-014,0.0,,,Recorded,Medical report fees,Disbursements
TXN044,2023-08-01,Invoice,CASE014,C014,Michael Brown,0.0,0.0,0.0,INV-2023-014,3862.50,,,Sent,Personal injury services,Billing
TXN045,2023-08-10,Payment,CASE014,C014,,0.0,0.0,0.0,INV-2023-014,3862.50,Bank Transfer,2023-08-10,Cleared,Payment received,Payment
TXN046,2023-07-15,Timesheet,CASE015,C015,Sarah Jones,32.0,250,0.0,INV-2023-015,0.0,,,Recorded,Property development legal work,Professional Fees
TXN047,2023-07-20,Expense,CASE015,C015,Sarah Jones,0.0,0.0,350.00,INV-2023-015,0.0,,,Recorded,Planning application fees,Disbursements
TXN048,2023-08-01,Invoice,CASE015,C015,Sarah Jones,0.0,0.0,0.0,INV-2023-015,8350.00,,,Sent,Property development services,Billing
TXN049,2023-07-20,Timesheet,CASE017,C017,Robert Smith,16.0,350,0.0,INV-2023-017,0.0,,,Recorded,Franchise agreement review,Professional Fees
TXN050,2023-08-01,Invoice,CASE017,C017,Robert Smith,0.0,0.0,0.0,INV-2023-017,5600.00,,,Sent,Franchise law services,Billing
