cid,custid,sol,typ,val,dt_start,st,col8
C00001,95,Richard Evans,litigation,104709.00,02/06/2021,Pending,Y
C00002,15,Jennifer Thomas,immigration,241518.00,18/12/2022,C,Y
C00003,86,Sarah Jones,corp,283275.00,05/09/2021,closed,N/A
C00004,176,Jennifer Thomas,immigration,431534.00,08/05/2021,Active,Y
C00005,46,Susan Robinson,Disp,373.153K,06/02/2021,P,Y
C00006,165,Robert Smith,CONTRACT,247972.00,03/25/2021,closed,Y
C00007,149,Karen Edwards,commercial,39.337K,23-02-22,CLOSED,Y
C00008,19,Lisa Johnson,Liti,£463150,09/18/2022,open,X
C00009,9,Richard Evans,corp,196887,24-05-22,Done,
C00010,28,Daniel Hughes,contract,109073,2023-11-28,On Hold,
C00011,93,Andrew Roberts,Property,490639.00,05-06-23,Pending,
C00012,98,Andrew Roberts,IP,366.061K,23/07/2023,open,
C00013,45,Daniel Hughes,Litigation,GBP 386886,08/02/2023,In Progress,X
C00014,138,Emma Wilson,Will,118931,11/29/2021,Finished,N/A
C00015,75,Michael Brown,employment,258.989K,30-08-21,Paused,N/A
C00016,4,Richard Evans,Commercial,£64682,02/07/2021,Done,
C00017,189,Jennifer Thomas,Prop,£424179,04/08/2021,Paused,
C00018,103,Richard Evans,contract,11369,25-12-21,Finished,Y
C00019,36,Andrew Roberts,wills,428.845K,09-08-22,pending,N/A
C00020,19,Robert Smith,Contract,GBP 414045,06/11/2022,Open,
CASE21,134,Charles Thompson,LITIGATION,91459,18/04/2021,IP,
C00022,200,Richard Evans,corp,375516,02/10/2021,pending,N/A
C00023,41,Jennifer Thomas,Wills,422670,05/01/2023,open,
CASE24,112,Susan Robinson,conveyancing,£90776,10/21/2023,Ongoing,N/A
C00025,58,Emma Wilson,WILLS,352.055K,08/06/2022,pending,X
C00026,102,Robert Smith,Prop,GBP 127023,2023-11-17,closed,Y
C00027,28,Charles Thompson,Wills,165763,11-10-21,pending,N/A
