tid,cid,typ,dt,amt,hrs,paystat,col8
T000001,C00133,Time,11/19/2022,£8586,9.1,paid,Y
TXN2,C00480,TIME,09/16/2022,49903,34.8,Pending,Y
T000003,C00046,payment,31/01/2022,£43242,,1,
T000004,C00098,Timesheet,12-12-21,41.4K,30.5,Paid,Y
T000005,C00390,Invoice,10/16/2023,£32666,,N/A,X
T000006,C00375,Expense,2023-12-06,47.547K,,0,
T000007,C00146,PAY,2021-02-18,14178.00,,Unpaid,X
T000008,CASE470,Expenses,01/21/2021,26717.00,,Unknown,X
T000009,CASE455,INV,2021-05-07,44.706K,,Pending,X
T000010,C00492,Time,02/25/2022,11313.00,23.3,Overdue,X
T000011,C00252,I,02-01-23,£5029,,Paid,
T000012,C00462,TIME,03-12-23,3187,14.4,paid,X
T000013,C00038,EXP,12-10-22,31645,,0,X
T000014,CASE310,Hours,08/07/2023,£25021,,N/A,Y
T000015,C00025,expense,16-12-23,14.488K,,N/A,X
T000016,C00147,PAY,06/14/2021,38101.00,,Paid,
T000017,CASE235,Expenses,31/03/2021,GBP 24564,,overdue,X
TXN18,C00064,Time,23-11-21,£3338,2.9,Unknown,
TXN19,C00015,Timesheet,04-10-22,29958,24.3,paid,X
T000020,C00028,INV,15-08-21,40.808K,,paid,
TXN21,C00102,Hours,01/03/2021,34135,,1,
T000022,C00429,Expenses,26-05-21,14460,,0,
T000023,C00500,Bill,2023-08-27,£33875,,O,X
T000024,C00397,I,08/16/2022,24674.00,,N/A,X
TXN25,C00453,INV,2022-10-19,£47201,,Late,X
T000026,C00312,timesheet,2021-01-26,18207.00,24.5,overdue,X
T000027,C00043,payment,01/03/2021,6265.00,,Complete,X
T000028,C00242,Invoice,18-12-21,19287.00,,N/A,X
T000029,C00077,PAY,02/05/2021,GBP 45234,,P,X
T000030,CASE341,PAY,27-05-22,29104,,overdue,
T000031,C00417,PAY,2022-03-22,£27678,,Overdue,X
T000032,C00441,Receipt,05-08-23,GBP 8731,,overdue,X
T000033,C00029,PAY,2022-10-19,13.107K,,N/A,
T000034,C00343,Expense,17-04-21,£7861,,0,
T000035,C00303,Receipt,11/07/2023,39169.00,,O,X
T000036,C00104,Time,2021-04-08,GBP 33804,19.2,Overdue,Y
T000037,C00356,INV,28/11/2023,47415.00,,paid,
T000038,CASE464,timesheet,06-10-22,16.887K,28.3,N/A,
T000039,C00319,Receipt,20/11/2021,£35712,,O,X
T000040,C00273,INV,02-09-22,GBP 14742,,N/A,X
T000041,C00279,Expense,09/04/2023,£49204,,Pending,X
T000042,C00166,PAY,2021-07-26,GBP 11033,,Unknown,
T000043,C00021,Invoice,19/04/2022,£19842,,Overdue,X
TXN44,C00102,TIME,12/06/2021,GBP 3725,7.0,Overdue,X
T000045,C00020,Payment,2023-11-21,26921.00,,P,X
T000046,C00443,TIME,06/24/2023,8497,30.9,,X
T000047,C00242,Bill,2022-10-17,15688,,U,
T000048,C00431,Receipt,05/01/2022,£32445,,P,Y
TXN49,C00334,Expenses,11/23/2023,24336,,Unknown,X
T000050,C00082,Time,12/11/2022,14304.00,14.6,,X
T000051,C00414,INV,2021-07-21,£16319,,Late,
T000052,C00287,expense,10/02/2022,38.082K,,P,Y
T000053,C00005,E,18/10/2022,44949.00,,Late,
T000054,C00223,payment,14/11/2023,23622,,P,Y
T000055,C00167,I,2022-11-06,47.035K,,Unknown,
T000056,C00391,timesheet,07/07/2022,41.275K,20.8,Overdue,Y
T000057,C00485,timesheet,12/23/2023,£29510,38.0,Paid,
T000058,C00485,E,26-05-22,£25680,,Unknown,Y
T000059,C00128,Timesheet,10/05/2021,40086.00,32.6,Pending,X
T000060,CASE437,I,19/02/2021,32.742K,,Pending,
T000061,C00229,Time,05/11/2023,GBP 5375,17.9,,
T000062,C00074,EXP,18/03/2021,42413.00,,Unpaid,X
T000063,C00111,Payment,25/06/2022,48229.00,,Paid,Y
T000064,C00055,PAY,03/07/2022,47849.00,,Unpaid,Y
T000065,CASE327,EXP,2021-09-16,£28829,,unpaid,
T000066,C00452,invoice,29/07/2021,43322.00,,O,
TXN67,C00233,Payment,01/19/2021,GBP 45772,,Paid,
T000068,C00242,INV,01/13/2023,46.508K,,P,
T000069,C00296,PAY,27-02-23,GBP 27495,,0,Y
T000070,C00454,I,07/25/2021,18343.00,,paid,
T000071,C00131,P,08/08/2023,36458,,P,X
T000072,C00147,Receipt,18/11/2021,29712.00,,overdue,Y
T000073,C00378,expense,10-01-22,£45706,,Paid,X
TXN74,C00109,Payment,27/07/2021,£35065,,overdue,Y
T000075,C00439,Expenses,05/05/2021,43.961K,,Complete,
T000076,C00471,Time,08/08/2022,39825,36.4,paid,
T000077,C00184,Invoice,06/09/2022,£33577,,overdue,X
T000078,C00109,I,2021-03-13,11.798K,,paid,
T000079,C00333,invoice,2023-07-25,2047.00,,Unpaid,X
T000080,C00084,Time,26-06-23,1949.00,37.1,O,Y
T000081,CASE293,TIME,06/01/2021,32130,14.8,O,X
T000082,CASE254,expense,03/08/2022,9252.00,,P,Y
TXN83,CASE161,I,10/15/2021,25465.00,,Complete,X
T000084,C00025,EXP,14-10-22,21.325K,,,Y
T000085,CASE397,P,03/08/2023,£36305,,P,X
T000086,C00146,Bill,06/07/2021,GBP 20535,,Pending,X
T000087,CASE443,expense,24-07-21,5507,,,
T000088,C00051,timesheet,20/03/2022,GBP 19854,15.9,0,
T000089,C00072,EXP,09/08/2022,£32860,,Paid,X
T000090,CASE31,TIME,05/25/2022,£41719,12.0,Pending,X
T000091,C00302,Time,2021-10-10,41489.00,17.3,1,Y
T000092,C00133,INV,04-11-22,£15582,,Late,X
T000093,C00118,EXP,13-01-23,4543,,Unpaid,Y
TXN94,CASE440,Invoice,27-04-23,35914.00,,Complete,Y
T000095,C00257,Expenses,16-03-21,GBP 48842,,P,
TXN96,CASE293,Expenses,28-10-23,£16907,,Paid,
T000097,C00450,P,07-04-21,GBP 33578,,Unpaid,X
T000098,C00375,Invoice,08/30/2021,46.246K,,N/A,Y
T000099,C00012,E,2022-01-18,£11323,,Late,Y
T000100,CASE262,PAY,04/30/2023,1405.00,,1,X
T000101,C00109,EXP,09/16/2022,10.394K,,1,X
T000102,C00344,Time,27/06/2022,GBP 37676,33.1,P,
T000103,C00116,Timesheet,2023-05-29,5564.00,20.0,paid,Y
T000104,C00065,Bill,2023-03-27,£29445,,P,Y
T000105,C00107,timesheet,02/10/2021,9908,35.9,Unpaid,
T000106,C00349,INV,2022-05-31,44.305K,,overdue,X
T000107,CASE221,P,2023-09-24,20820,,Late,
T000108,C00375,payment,25-04-22,£759,,1,Y
TXN109,C00456,Hours,2023-09-20,GBP 37052,,1,Y
T000110,C00296,INV,31-01-22,35835,,Unknown,
T000111,C00355,invoice,03-10-21,GBP 34706,,U,Y
TXN112,C00118,INV,09/05/2021,£26611,,overdue,
T000113,C00213,Time,14-01-21,£47335,3.6,Late,X
T000114,C00028,Timesheet,2021-05-25,15368.00,3.4,Late,
T000115,C00105,Receipt,04/13/2022,14.232K,,Pending,
T000116,C00114,Expense,2021-12-29,26376,,paid,
